FI	theta
5	157.228972
21	138.820225
9	151.207118
21	138.088616
24	135.863931
23	134.893477
21	138.279658
12	148.037735
12	146.636579
8	150.992699
8	153.191145
2	159.246046
5	154.301064
20	138.234209
7	154.189628
21	138.184301
10	148.496558
5	153.725360
5	154.372976
6	153.419085
17	142.523469
7	153.938561
10	147.565489
7	153.211063
21	138.285551
12	147.208297
10	149.439116
11	148.334045
19	139.657304
19	138.859092
3	158.822916
10	148.032941
12	147.595139
18	140.412349
20	138.736155
24	136.048703
22	135.578465
9	151.213141
22	138.075237
24	135.897055
20	137.983849
5	155.637723
17	140.346565
6	154.131122
4	155.098434
1	160.949432
11	147.755738
8	153.086814
21	138.205578
5	157.356349
22	135.670348
10	150.791896
5	154.671945
24	135.764806
20	138.160807
24	135.020914
23	136.788539
3	159.209794
8	150.485178
6	154.703681
10	147.431222
9	149.394157
10	148.688099
23	136.262026
17	142.064774
3	157.698550
24	134.696854
2	160.684581
2	160.925529
17	140.637064
6	155.045247
21	137.640182
8	151.997509
5	154.654344
2	160.752809
20	138.002536
23	136.700623
4	157.123313
3	160.468350
2	159.219492
8	151.598679
21	137.758943
8	153.198923
3	157.947727
10	150.990852
23	136.056262
5	155.867103
1	162.204205
6	155.615115
5	154.866317
21	136.570311
12	145.884808
20	137.660487
23	136.636714
22	136.977781
10	150.444193
5	154.956812
7	151.827741
3	157.518398
17	141.309190
2	159.155941
18	140.789892
7	154.876580
5	156.380853
8	153.450365
10	149.678696
20	137.506189
7	154.566242
5	157.432195
5	154.990737
19	139.041265
3	157.381238
9	151.039931
2	159.638807
7	152.335361
3	157.364208
2	160.734809
11	146.604983
10	148.154674
24	135.665457
12	147.619371
22	137.591670
3	156.808363
18	139.622195
6	153.874149
6	154.400058
2	159.927193
5	154.099414
23	136.484405
4	158.232609
7	152.278404
5	153.952620
8	152.834054
18	139.589842
22	136.121494
10	150.575995
4	157.226103
21	138.431324
8	153.496273
4	158.154429
23	136.113498
9	149.624624
5	154.130067
2	158.220236
6	153.807247
18	140.975001
9	149.733176
7	153.875696
10	148.001196
19	140.539750
24	135.628592
19	138.239378
17	142.773178
9	150.493808
18	140.359448
6	156.005501
24	135.006974
20	138.143511
11	147.350694
20	139.644287
19	139.693695
9	150.161460
12	148.008460
20	139.656282
20	138.989031
4	156.328435
9	151.483791
21	138.979046
5	154.533737
17	142.848357
24	136.148379
22	136.078389
18	139.822433
6	153.491978
6	156.133365
7	152.808654
21	136.820910
1	159.811379
18	139.105674
12	147.606546
18	141.228254
9	150.971815
23	136.191202
21	136.843955
17	141.919572
24	134.601375
10	148.568328
3	158.946064
22	138.147652
17	140.139258
6	152.875829
3	156.972824
11	147.583624
24	136.328828
12	147.586679
20	137.479896
11	149.496329
22	137.594415
17	141.002585
19	140.096589
9	150.361622
18	140.752619
6	152.521674
18	140.497775
23	134.848066
20	137.630845
21	138.806012
17	142.611162
17	142.060822
19	140.681067
12	147.745770
8	151.611756
10	148.427133
3	158.982921
12	145.420113
8	151.867540
8	150.051570
21	137.197987
12	147.040913
5	155.703621
6	154.080281
18	140.323209
5	155.994643
1	162.511985
23	135.194956
19	140.343276
10	150.323316
2	161.177139
11	147.947258
20	139.245173
24	135.677734
12	146.195894
24	134.915895
23	136.204223
1	163.057426
9	149.628053
5	156.607137
18	141.362284
18	140.479215
5	155.520325
9	149.056251
18	141.395099
3	159.788179
20	137.239130
23	135.489764
19	138.839157
21	138.203912
10	149.069327
17	140.515718
20	137.494450
20	139.193744
22	137.715036
5	156.105136
2	161.238780
6	152.662596
10	148.700516
6	152.810286
4	156.663170
11	149.526372
20	137.796790
9	151.119377
18	139.561511
6	152.392910
24	135.658827
6	153.216632
2	160.406296
19	140.847698
20	139.575659
7	153.175666
8	153.151098
18	140.333960
10	149.809742
5	157.411424
23	136.876174
22	135.777667
1	160.670641
2	158.598476
2	161.597677
17	141.452184
21	138.576043
19	140.619350
19	139.764316
2	161.274386
9	151.840683
19	138.929144
4	158.361259
10	148.400455
3	159.200595
19	139.008270
21	137.591840
5	155.037749
10	147.841363
20	139.480955
7	151.596193
17	140.445485
24	136.143006
23	136.784917
19	138.647436
8	150.015236
12	145.732087
2	161.501850
5	156.461650
5	155.360369
4	157.015524
5	157.261440
11	149.540819
23	136.125765
17	141.876976
6	153.566865
9	150.204310
24	135.052445
7	154.504976
18	141.772407
10	150.792139
18	140.023821
21	137.792421
8	150.686667
20	138.481078
24	134.482618
1	162.775839
9	148.991417
23	137.003057
9	149.325079
4	156.125957
11	147.921389
24	134.963088
2	160.983587
22	136.331959
22	136.804774
9	151.876397
8	150.754367
19	139.090190
9	151.726022
10	148.342252
7	154.365771
22	135.767986
23	136.934557
4	158.420713
12	146.303601
21	138.476563
9	151.553842
18	141.764161
17	142.669557
21	137.627153
10	147.647864
12	147.033213
23	136.887263
23	136.559369
22	135.914781
20	139.381563
7	151.798391
24	134.542772
2	161.843304
12	147.869580
6	153.479191
20	137.570291
7	154.097111
17	140.740801
7	152.623522
7	153.732609
19	138.543997
22	137.000539
22	136.845128
6	153.841850
5	155.930061
3	158.633590
8	152.353187
18	141.763914
10	148.403876
19	140.949805
9	151.997369
4	158.054376
5	156.211893
